epoch,train_loss,val_sev0,val_sev2,val_sev4,val_sev8
0,23.024879932403564,3149.7619132376612,3149.768744904097,3149.66667760175,3150.413926884203
1,20.37906265258789,2330.727925833271,2331.751671808428,2332.372049240622,2346.2775222155115
2,16.917490482330322,1989.0647980603997,1989.7019114124244,1991.5694998007266,2011.8719434493446
3,13.999976873397827,1474.5634166677519,1472.9954084212854,1473.8463084682057,1511.155375170848
4,10.901607394218445,1195.0385176631357,1196.760532776452,1199.052875784801,1226.2343730667683
5,9.06284487247467,1033.3722807278114,1032.0535047830156,1035.7130034263719,1074.677362149517
6,7.979671001434326,902.4795376212707,903.9555838322883,910.8826111555661,947.5022676805156
7,7.021418452262878,808.3255287298144,812.6056849243218,811.4154380742464,851.0490549674638
8,6.3331878781318665,743.2866687818091,742.5581305437611,747.9517186935966,778.6137562526317
9,5.720069527626038,653.348816077287,660.0243811679914,665.6614496714242,697.8471166651016
10,5.608161747455597,651.3822720302753,653.0358949563558,658.1168635269042,688.6011370561722
11,5.168357253074646,556.5720028488377,563.7875962681774,570.1757646191684,591.0006718501029
12,4.628152430057526,512.5650818321237,520.8608545064855,525.9169498782715,547.4300552669481
13,4.371303558349609,464.7571912478261,472.6581626870974,476.63175691295214,498.49403022955414
14,4.1457507610321045,434.1757831089435,439.5119910228301,449.13595036514283,465.2925243596253
15,3.9949746131896973,442.5152023973229,447.84355362716406,448.73275542262434,468.09876029185875
16,3.610074520111084,379.65711440396035,387.4547559792832,393.51867467861575,411.72872134892805
17,3.3735760152339935,361.0505341649937,368.81146268352825,372.59947995222177,388.8469990610493
18,3.4851303696632385,364.37446508586754,373.7521468930525,374.7044582183264,392.56982823654306
19,3.19568008184433,378.9932424549045,386.5960725616542,387.6251274916398,404.7608405841786
20,3.0404621064662933,332.79708830134297,338.5538460903347,340.5276336263552,355.3020831852753
21,2.949052542448044,304.80419283186166,313.41381357572715,316.8883917343203,332.2716286655019
22,2.856493055820465,302.2051814865561,308.2661138074782,312.59474511374265,331.20988031139336
23,2.730270206928253,292.13702659658134,297.4032965259387,301.7508592801853,318.2852477082203
24,2.7165498435497284,300.2410299761692,307.61042734973614,311.82729266572096,326.793390155991
25,2.6493559181690216,282.1972947066728,290.0870421302651,293.2628588108374,308.63228699563433
26,2.4403403103351593,258.08453476972784,268.58596689602166,267.6226372069453,284.2303769189584
27,2.531694322824478,272.8517514514016,279.2359807748634,282.9061924930926,297.4234164177601
28,2.4502270221710205,257.09185764608844,265.11125865441466,265.9227343196012,278.78118350869227
29,2.3566786348819733,272.65761608936043,278.2857795237506,282.02433590475664,296.6159290422738
